#,Source,What it is,Setting,Link,Use as
1,Mixkit,Canary scratching its head in a cage,Indoor cage / pet bird,https://mixkit.co/free-stock-video/canary-scratching-its-head-in-a-cage-26730/,Indoor TARGET (bird inside)
2,Mixkit,"Macaw parrot feeding on a branch, in captivity",Captivity / pet-like,https://mixkit.co/free-stock-video/macaw-parrot-feeding-on-a-branch-4669/,Bird identity / indoor-adjacent TARGET
3,Mixkit,"Parrot eating, close up",Close identity shot,https://mixkit.co/free-stock-video/parrot-eating-close-up-7094/,Bird identity TARGET
4,Mixkit,Close up of a parrot in nature,Perched parrot,https://mixkit.co/free-stock-video/close-up-of-a-parrot-in-nature-14363/,Bird identity TARGET
5,Mixkit,Chattering parrot eating on a tree branch,Perched parrot,https://mixkit.co/free-stock-video/chattering-parrot-eating-on-a-tree-branch-48849/,Bird identity TARGET
6,Mixkit,Parrot eating on a tree branch,Perched parrot,https://mixkit.co/free-stock-video/parrot-eating-in-a-tree-branch-7177/,Bird identity TARGET
7,Mixkit,Vibrant red parrot eating fruit on a tree,Perched parrot,https://mixkit.co/free-stock-video/vibrant-red-parrot-eating-fruit-on-a-tree-48848/,Bird identity TARGET
8,Mixkit,Parrot eating sugar cane,Perched parrot,https://mixkit.co/free-stock-video/parrot-eating-a-sugar-cane-6866/,Bird identity TARGET
9,Mixkit,Yellow bird on a tree branch (sanctuary),Perched small bird,https://mixkit.co/free-stock-video/yellow-bird-on-tree-branch-4666/,Bird identity TARGET
10,Mixkit,Birds singing in a tree,Perched birds,https://mixkit.co/free-stock-video/birds-singing-in-a-tree-20512/,Bird identity TARGET
11,Mixkit,Rooster inside its cage looking at camera,"Cage (not a house bird, but indoor cage)",https://mixkit.co/free-stock-video/rooster-inside-its-cage-looking-at-the-camera-49044/,Indoor cage TARGET (optional)
12,Pexels,Close-up video of a parrot / macaw,Identity close-up,https://www.pexels.com/video/a-close-up-video-of-a-parrot-10041594/,Bird identity TARGET
13,Pexels,Green parrot on a tree branch,Perched parrot,https://www.pexels.com/video/a-green-parrot-on-a-tree-branch-12715051/,Bird identity TARGET
14,Pixabay,Gray parrot close-up,Pet parrot look,https://pixabay.com/videos/bird-gray-parrot-parrot-animal-131650/,Bird identity / indoor-adjacent TARGET
15,Pixabay,Nature parrot,Perched parrot,https://pixabay.com/videos/nature-bird-parrot-armenia-21862/,Bird identity TARGET
16,Pixabay,Parrot on a tree,Perched parrot,https://pixabay.com/videos/parrot-bird-tree-nature-ave-green-21309/,Bird identity TARGET
17,Pixabay,Colorful bird / parrot,Perched parrot,https://pixabay.com/videos/bird-animal-colorful-guatica-25509/,Bird identity TARGET
18,Pixabay,Bird parrot colorful,Perched parrot,https://pixabay.com/videos/bird-parrot-nature-animal-colorful-46026/,Bird identity TARGET
19,Pixabay,"Parrot, banana, tree, avian",Perched parrot,https://pixabay.com/videos/parrot-bird-banana-tree-avian-87068/,Bird identity TARGET
20,Pixabay,Nature parrot on a tree,Perched parrot,https://pixabay.com/videos/nature-ave-parrot-bird-tree-22229/,Bird identity TARGET
