#,Source,What it is,Link,Use as
1,Mixkit,"Eagle gliding in a clear sky, bottom view",https://mixkit.co/free-stock-video/eagle-gliding-in-a-clear-sky-bottom-view-1706/,Outdoor TARGET (bird in sky)
2,Mixkit,Eagle flying high above the treetops,https://mixkit.co/free-stock-video/eagle-flying-high-above-the-tree-tops-6825/,Outdoor TARGET (bird in sky)
3,Mixkit,Flock of seagulls in the sky,https://mixkit.co/free-stock-video/flock-of-seagulls-in-the-sky-17978/,Outdoor TARGET (birds in sky)
4,Mixkit,Seagull flying across the sky,https://mixkit.co/free-stock-video/seagull-flying-across-the-sky-101185/,Outdoor TARGET (bird in sky)
5,Mixkit,Seagulls flying against the wind,https://mixkit.co/free-stock-video/seagulls-flying-against-the-wind-15298/,Outdoor TARGET (birds in sky)
6,Mixkit,Seagulls flying over a lagoon,https://mixkit.co/free-stock-video/seagulls-flying-over-lagoon-101191/,Outdoor TARGET (birds in sky)
7,Mixkit,Seagulls flying over the sky at sunset,https://mixkit.co/free-stock-video/seagulls-flying-over-the-sky-at-sunset-9317/,Outdoor TARGET (birds in sky)
8,Mixkit,Flock of seagulls flying at sunset,https://mixkit.co/free-stock-video/flock-of-seagulls-flying-across-the-sky-with-a-sunset-45582/,Outdoor TARGET (birds in sky)
9,Mixkit,Flocks of birds flying in the sky,https://mixkit.co/free-stock-video/flocks-of-birds-flying-in-the-sky-9782/,Outdoor TARGET (birds in sky)
10,Mixkit,Flock of birds over an urban lake,https://mixkit.co/free-stock-video/flock-of-birds-over-urban-lake-101383/,Outdoor TARGET (birds in sky)
11,Coverr,Seagulls flying around a bright blue sky,https://coverr.co/videos/seagulls-flying-around-rwaafdzlmj,Outdoor TARGET (birds in sky)
12,Coverr,Flock of birds in the sky,https://coverr.co/videos/flock-of-birds-in-the-sky-9d6jsspywm,Outdoor TARGET (birds in sky)
13,Coverr,Pigeons flying away,https://coverr.co/videos/pigeons-flying-away-tfvshulwvu,Outdoor TARGET (birds flying)
14,Coverr,Seagulls flying on the coast,https://coverr.co/videos/seagulls-on-the-coast-4xknqopzsq,Outdoor TARGET (birds in sky)
15,Coverr,Rainbow lorikeet perched against blue sky,https://coverr.co/videos/vibrant-rainbow-lorikeet-perched-against-blue-sky,Outdoor TARGET (bird + sky)
16,Pexels,Flock of pigeons flying outdoors,https://www.pexels.com/video/a-flock-of-pigeons-are-flying-around-a-dirt-road-18334417/,Outdoor TARGET (birds flying)
17,Pixabay,Bird swarm / flock in clouds,https://pixabay.com/videos/birds-swarm-flock-of-birds-clouds-184151/,Outdoor TARGET (birds in sky)
18,Pixabay,"Bird flock, forest animals",https://pixabay.com/videos/birds-flock-animals-forest-174316/,Outdoor TARGET (birds flying)
19,Pixabay,"Seagulls, wings, flying in sky",https://pixabay.com/videos/seagulls-birds-wings-marine-49948/,Outdoor TARGET (birds in sky)
