#,Source,What it is,Link,Use as
1,Mixkit,Cloudy sky timelapse,https://mixkit.co/free-stock-video/time-lapse-video-of-a-cloudy-sky-284/,Outdoor reference (empty sky)
2,Mixkit,"Sky timelapse, moving clouds",https://mixkit.co/free-stock-video/sky-time-lapse-1905/,Outdoor reference (empty sky)
3,Mixkit,White clouds on clear blue sky,https://mixkit.co/free-stock-video/white-clouds-moving-across-a-clear-blue-sky-51102/,Outdoor reference (empty sky)
4,Mixkit,White clouds moving quickly,https://mixkit.co/free-stock-video/white-clouds-moving-across-a-clear-blue-sky-quickly-51105/,Outdoor reference (empty sky)
5,Mixkit,"Fluffy clouds, bright blue sky (4K)",https://mixkit.co/free-stock-video/fluffy-clouds-against-a-bright-blue-sky-100715/,Outdoor reference (empty sky)
6,Mixkit,"Fluffy clouds, open sky",https://mixkit.co/free-stock-video/fluffy-clouds-floating-gently-across-a-great-blue-open-sky-44967/,Outdoor reference (empty sky)
7,Mixkit,"Blue sky, wind-blown clouds",https://mixkit.co/free-stock-video/blue-sky-background-as-the-clouds-travel-blown-by-the-26108/,Outdoor reference (empty sky)
8,Mixkit,Sun + thin clouds timelapse,https://mixkit.co/free-stock-video/sky-view-with-sun-and-clouds-in-a-timelapse-50160/,Outdoor reference (empty sky)
9,Mixkit,Clouds moving across blue sky,https://mixkit.co/free-stock-video/timelapse-of-clouds-moving-across-a-blue-sky-45272/,Outdoor reference (empty sky)
10,Mixkit,Clouds passing across the sun,https://mixkit.co/free-stock-video/clouds-passing-across-the-sun-20734/,Outdoor reference (empty sky)
11,Mixkit,Desert/cactus + clouds,https://mixkit.co/free-stock-video/clouds-travel-along-the-blue-sky-in-the-presence-of-50136/,Outdoor reference (empty sky)
12,Mixkit,Sky reflecting on a building,https://mixkit.co/free-stock-video/time-lapse-of-sky-reflecting-on-a-building-101379/,Outdoor reference (empty sky)
13,Coverr,Cloudy sky timelapse,https://coverr.co/videos/cloudy-sky-2v00ohjpqe,Outdoor reference (empty sky)
14,Coverr,Clouds moving during the day,https://coverr.co/videos/timelapse-of-clouds-dsal4pxnyw,Outdoor reference (empty sky)
15,Coverr,Clouds + bright blue sky,https://coverr.co/videos/timelapse-of-the-clouds-oj4mcuuvzl,Outdoor reference (empty sky)
16,Pexels,Blue sky + clouds timelapse,https://www.pexels.com/video/serene-timelapse-of-blue-sky-with-clouds-29461557/,Outdoor reference (empty sky)
17,Pexels,White clouds on blue sky,https://www.pexels.com/video/serene-white-clouds-against-a-blue-sky-33545030/,Outdoor reference (empty sky)
18,Pexels,Cirrus clouds over a field,https://www.pexels.com/video/vast-open-sky-with-cirrus-clouds-over-dry-field-32573013/,Outdoor reference (empty sky)
19,Pexels,Aerial cloudscape (check: no actual birds),https://www.pexels.com/video/cloudscape-in-birds-eye-view-12278365/,Outdoor reference — verify no birds
